iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
1,4.386215455e-14,6.097293699e-09,1e-08,8.314738947e-11,0.4999872773
2,2.837048286e-14,5.032729644e-09,6.459785873e-09,8.966198147e-11,0.2008917619
3,1.899506068e-14,7.779680899e-09,5.424280187e-09,8.926646366e-11,0.1031824397
4,1.158269322e-14,1.907423414e-09,9.861841485e-10,8.042048441e-11,0.06951263445
5,7.873648105e-15,4.846970155e-09,7.130631456e-09,8.057745608e-11,0.05133441367
6,5.468897335e-15,3.761353197e-09,6.012123912e-09,8.057070169e-11,0.04087790185
7,3.574408583e-15,4.199477793e-09,6.340579182e-09,7.686634102e-11,0.032519414
8,3.074000868e-15,3.190701721e-09,9.932527939e-09,9.192161444e-11,0.02696484151
9,2.190731042e-15,4.827933955e-09,4.075616838e-09,8.982335356e-11,0.02297291021
10,1.57328526e-15,2.633200704e-09,9.3363974e-09,8.503391492e-11,0.01955383244
11,1.163280283e-15,8.492800075e-09,9.881067765e-09,7.970472445e-11,0.01667965581
12,9.337841231e-16,8.669729053e-09,7.166392487e-09,7.789553485e-11,0.01467898654
13,9.316517574e-16,5.099950864e-09,8.92011643e-09,9.456115372e-11,0.0129648924
14,6.268251047e-16,5.609406158e-09,9.564568033e-09,7.231264573e-11,0.01144693662
15,6.324481702e-16,7.292983632e-09,8.468823319e-09,8.317377104e-11,0.01011094738
16,6.384987317e-16,5.564492918e-09,8.102125033e-09,9.536749202e-11,0.009116919687
17,4.643595324e-16,5.794998559e-09,3.761739763e-09,7.895242917e-11,0.008240730621
18,4.191929664e-16,6.188702661e-09,5.206764434e-09,8.048457256e-11,0.007459257606
19,3.663264902e-16,6.619808727e-09,3.674543624e-09,8.023819655e-11,0.006739703693
20,3.20887896e-16,7.107067911e-09,2.326318036e-09,7.841067027e-11,0.006151726907
21,2.917695798e-16,7.565545444e-09,4.202590306e-09,7.847142586e-11,0.005646953335
22,2.475596081e-16,7.943068885e-09,2.70609636e-09,7.461359727e-11,0.005189491103
23,2.867787522e-16,8.153192937e-09,3.759328687e-09,9.461116848e-11,0.004779830297
24,2.317493151e-16,8.205791639e-09,4.797838252e-09,8.427549815e-11,0.004402044096
25,2.478214144e-16,8.238365689e-09,3.190343604e-09,9.877834021e-11,0.004056491307
26,2.021366949e-16,8.336668448e-09,1.818927061e-09,8.869827383e-11,0.003740704743
27,1.619227981e-16,8.472206797e-09,4.275669954e-09,7.799242424e-11,0.003474052703
28,1.349785245e-16,8.543355297e-09,5.838569197e-09,7.00472263e-11,0.003237088753
29,1.804090668e-16,8.520077145e-09,5.181475188e-09,9.99056863e-11,0.003016074277
30,1.155411534e-16,8.422846774e-09,7.504816467e-09,7.052529041e-11,0.002810471356
31,1.116504477e-16,8.298639899e-09,3.740626196e-09,7.406109332e-11,0.002619582652
32,1.082985294e-16,8.178352372e-09,8.455058243e-09,7.743136189e-11,0.002442429567
33,1.060628258e-16,8.07796518e-09,8.257696142e-09,8.160827311e-11,0.002282163156
34,1.043400615e-16,8.012318984e-09,3.276940543e-09,8.721083152e-11,0.002134403811
35,1.032666532e-16,8.003578794e-09,8.098936217e-10,9.30744138e-11,0.001994899962
36,1.021477025e-16,8.037478463e-09,1.76555752e-09,9.684297261e-11,0.00186527392
37,7.993678512e-17,8.113172885e-09,7.182992371e-09,8.081424354e-11,0.001744928261
38,7.687224977e-17,8.221743965e-09,7.802901674e-09,8.330895713e-11,0.001632918885
39,7.481184383e-17,8.359648649e-09,7.044310147e-09,8.601710726e-11,0.001531286785
40,7.075711511e-17,8.4997444e-09,7.6395715e-09,8.68837667e-11,0.001436676962
41,6.624099486e-17,8.652376163e-09,2.734226411e-09,8.769982622e-11,0.001348134358
42,6.239438462e-17,8.813486306e-09,8.385146702e-09,8.651251865e-11,0.001265408553
43,5.577352248e-17,9.00605313e-09,7.120486213e-09,8.215943894e-11,0.001188037936
44,5.871674876e-17,9.213624745e-09,8.059605802e-09,9.335749211e-11,0.001115724622
45,4.811872898e-17,9.433092807e-09,5.265620617e-09,8.210799017e-11,0.001047810713
46,4.69831788e-17,9.654946229e-09,6.342328759e-09,8.571562585e-11,0.0009844942034
47,4.449652793e-17,9.88481387e-09,6.639818994e-09,8.594421907e-11,0.0009261396969
48,4.177782142e-17,9.396328384e-09,7.570576141e-09,8.564314689e-11,0.0008715284627
49,3.927208176e-17,9.533737214e-09,9.039999717e-09,8.586397418e-11,0.0008203477146
50,3.695832482e-17,9.682873715e-09,2.798273788e-09,8.559540023e-11,0.0007723253904
