iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
1,0.0005461458848,4.307567105e-09,1e-08,5.643092188e-11,0.2034120215
2,0.0005007796148,1.115000108e-09,4.514551849e-10,3.658088889e-11,0.09938204559
3,0.0004045660564,3.38176571e-09,5.815240858e-09,6.604347511e-11,0.05956150171
4,0.0003192234669,2.120152965e-10,7.218399438e-09,5.487043006e-11,0.03843891864
5,0.0002699679885,4.233823981e-10,2.648013623e-09,5.286991908e-11,0.02626952544
6,0.0002297126705,9.958297473e-09,3.629112434e-09,5.010715576e-11,0.01847979884
7,0.0001875516881,7.539706065e-09,3.411586058e-09,4.551835718e-11,0.01347975176
8,0.0001474760007,6.539914777e-09,4.173040511e-09,4.109405015e-11,0.01039593427
9,0.0001135883128,5.907943727e-09,6.063979922e-09,5.87107731e-11,0.00829119548
10,8.638124347e-05,5.826785195e-09,7.212613015e-09,6.737794308e-11,0.006885962546
11,6.599977209e-05,5.894884684e-09,6.19708162e-09,7.644775682e-11,0.005835042266
12,5.006994837e-05,5.976752181e-09,5.163927629e-09,8.441965997e-11,0.004913113038
13,3.81488275e-05,6.187268188e-09,4.477414667e-09,8.988826518e-11,0.004117901464
14,2.987897474e-05,6.469425433e-09,4.068364836e-09,9.170773618e-11,0.003440364562
15,2.388305069e-05,6.724579275e-09,3.828640064e-09,8.924901962e-11,0.002868427588
16,1.942285121e-05,6.923847142e-09,3.694569086e-09,8.357959313e-11,0.002388809558
17,1.620212221e-05,7.074806784e-09,3.647665048e-09,7.75876802e-11,0.001988396405
18,1.375735683e-05,7.190973374e-09,3.701579745e-09,7.006007621e-11,0.001655098862
19,1.179149845e-05,7.282740852e-09,3.877041548e-09,6.402799499e-11,0.001383074562
20,1.005911572e-05,7.356903211e-09,4.172267462e-09,4.167066854e-11,0.001168177881
21,8.582057453e-06,7.417817095e-09,4.522712582e-09,3.010900498e-11,0.0009855583775
22,7.288203577e-06,7.468378919e-09,4.699861799e-09,4.543678049e-11,0.0008308532445
23,6.220595131e-06,7.510622968e-09,4.360286961e-09,4.447214623e-11,0.0007001091548
24,5.291826042e-06,7.546057269e-09,3.817850101e-09,3.498167291e-11,0.0005898124748
25,4.490129454e-06,7.57584982e-09,3.474522716e-09,3.499097588e-11,0.0004968848263
26,3.806083558e-06,7.600934319e-09,3.337145109e-09,4.520267112e-11,0.0004186585574
27,3.231157272e-06,7.622073052e-09,3.381326229e-09,5.617045574e-11,0.0003528415624
28,2.740525455e-06,7.639896671e-09,3.556281845e-09,6.471779753e-11,0.0002998964858
29,2.322967136e-06,7.654931102e-09,3.777353772e-09,7.070985161e-11,0.0002547724714
30,1.968387076e-06,7.667616968e-09,3.977184595e-09,7.46447656e-11,0.0002166597472
31,1.667736823e-06,7.678324356e-09,4.128310216e-09,7.70430825e-11,0.000184580338
32,1.413053267e-06,7.687364528e-09,4.230531605e-09,7.832770741e-11,0.0001570992725
33,1.197420362e-06,7.694999436e-09,4.29404911e-09,7.881807046e-11,0.0001336007826
34,1.014888599e-06,7.701449596e-09,4.330199198e-09,7.874791544e-11,0.0001135396594
35,8.602112869e-07,7.707042357e-09,4.348121643e-09,7.837216852e-11,9.643506224e-05
36,7.290403024e-07,7.711907062e-09,4.354806894e-09,7.785472669e-11,8.187227683e-05
37,6.179071433e-07,7.716028699e-09,4.354876677e-09,7.719657162e-11,6.948996231e-05
38,5.23807116e-07,7.719520386e-09,4.351173627e-09,7.642178807e-11,5.896817218e-05
39,4.441378392e-07,7.722478702e-09,4.345476997e-09,7.556317138e-11,5.003101218e-05
40,3.766759308e-07,7.724985482e-09,4.338898954e-09,7.465302506e-11,4.244246187e-05
41,3.195348083e-07,7.727109969e-09,4.332119319e-09,7.372075669e-11,3.600108825e-05
42,2.711193704e-07,7.728910748e-09,4.325538525e-09,7.279257824e-11,3.05350523e-05
43,2.300831654e-07,7.73043739e-09,4.319378304e-09,7.189130513e-11,2.589780832e-05
44,1.9529019e-07,7.731731839e-09,4.313747573e-09,7.10360029e-11,2.196445767e-05
45,1.657818555e-07,7.732829587e-09,4.308685282e-09,7.024167802e-11,1.862863926e-05
46,1.407572895e-07,7.733760672e-09,4.304188138e-09,6.951910299e-11,1.579985884e-05
47,1.195323412e-07,7.734550514e-09,4.300228476e-09,6.887497355e-11,1.340118721e-05
48,1.015138916e-07,7.735220634e-09,4.296765667e-09,6.831226635e-11,1.136727573e-05
49,8.621559699e-08,7.735789254e-09,4.293753327e-09,6.783075194e-11,9.642647985e-06
50,7.32254429e-08,7.736271806e-09,4.291143771e-09,6.742761595e-11,8.180232493e-06
51,6.219423545e-08,7.736681362e-09,4.288890687e-09,6.709809134e-11,6.940105413e-06
52,5.282590909e-08,7.737029e-09,4.286950635e-09,6.68360785e-11,5.888415552e-06
53,4.48693576e-08,7.737324107e-09,4.285283812e-09,6.663468025e-11,4.996467051e-06
54,3.811154342e-08,7.737574641e-09,4.283854345e-09,6.648663263e-11,4.239937942e-06
55,3.237168031e-08,7.73778735e-09,4.282630282e-09,6.638470145e-11,3.598215346e-06
56,2.749631776e-08,7.737967956e-09,4.28158343e-09,6.632192291e-11,3.053830577e-06
57,2.335518438e-08,7.738121312e-09,4.280689077e-09,6.629178924e-11,2.591979564e-06
58,1.983767024e-08,7.738251536e-09,4.279925689e-09,6.628836988e-11,2.200116015e-06
59,1.684984822e-08,7.738362122e-09,4.279274576e-09,6.630637998e-11,1.86760648e-06
60,1.431195016e-08,7.738456034e-09,4.278719579e-09,6.634115823e-11,1.58543803e-06
61,1.21562274e-08,7.738535788e-09,4.278246766e-09,6.638869021e-11,1.345970592e-06
62,1.032513643e-08,7.738603522e-09,4.277844152e-09,6.644555114e-11,1.14272718e-06
63,8.7697995e-09,7.738661047e-09,4.277501449e-09,6.650885658e-11,9.702162317e-07
64,7.448698384e-09,7.738709903e-09,4.27720984e-09,6.657623099e-11,8.237811602e-07
65,6.326565505e-09,7.738751397e-09,4.276961778e-09,6.664571898e-11,6.994729439e-07
66,5.373442514e-09,7.738786639e-09,4.276750812e-09,6.671573573e-11,5.939422305e-07
