9.68841002e-05,0.0001899690785,2.444631349e-05,-0.000456353916,-0.001220368272,-0.002198768367,-0.003320317226,-0.004523496155,-0.005757323332,-0.006978700292,-0.008149398384,-0.009233616547,-0.01019636432,-0.01100269451,-0.01161776722,-0.0120080052,-0.01214419846,-0.01200735339,-0.01158058346,-0.0108641319,-0.009875367647,-0.008650488223,-0.007245692191,-0.005736205193,-0.004212606303,-0.002774515722,-0.001522011413,-0.000544835258,9.208057017e-05,0.0003695736405,0.000340300344,0.0001304061803
3.055436009e-05,-0.0001717149264,-0.001004807678,-0.002555403847,-0.004738321004,-0.007406982058,-0.0104078176,-0.01359864909,-0.01685243969,-0.0200557747,-0.02310549798,-0.02590527976,-0.02836321204,-0.03039090947,-0.03190427936,-0.03282657616,-0.03309552863,-0.03267225726,-0.03152542576,-0.02966371655,-0.02713538211,-0.02403129422,-0.02048662395,-0.01667814952,-0.01281595752,-0.009129212557,-0.005846256706,-0.003169611235,-0.001245901553,-0.0001295777586,0.0002570544784,0.0001436128691
-0.0001414358772,-0.0008550542627,-0.002540275305,-0.005246460991,-0.008807657916,-0.01301239581,-0.01765342618,-0.02253593931,-0.0274792662,-0.03231710148,-0.03689581833,-0.04107192408,-0.0447102003,-0.04768337088,-0.04987359725,-0.05117669493,-0.05151153203,-0.05082813585,-0.04909172943,-0.04632089676,-0.04258720778,-0.03801883687,-0.03280262514,-0.02718081102,-0.02144069616,-0.0158963577,-0.01086228937,-0.006620384361,-0.003383529985,-0.001258251142,-0.0002014599005,3.799374699e-05
-0.0003354166478,-0.001618186162,-0.004222242939,-0.008119274938,-0.01303257122,-0.01867888156,-0.02480577986,-0.03118053537,-0.03758468995,-0.04381412075,-0.0496786556,-0.05500059033,-0.05961361763,-0.06336312971,-0.06610821251,-0.0677264161,-0.06812421457,-0.06724506753,-0.06505197152,-0.06156897226,-0.05688056407,-0.05113604578,-0.04455272844,-0.03741367088,-0.03005769523,-0.022860078,-0.01620318191,-0.01043914295,-0.005851389139,-0.002621017917,-0.0007811326928,-0.0001008927808
-0.0005207674009,-0.002362333772,-0.00588222831,-0.01095719247,-0.01718176539,-0.02419221228,-0.03169177282,-0.03941694611,-0.04712186636,-0.05457614694,-0.06156460349,-0.06788618642,-0.07335332343,-0.07779257202,-0.08104679583,-0.08297997479,-0.08348788505,-0.08250835287,-0.07999793394,-0.07597810934,-0.07053454972,-0.06382282534,-0.05607389521,-0.0475945357,-0.03875987262,-0.02999550397,-0.02174753112,-0.0144428691,-0.008449732619,-0.004047394293,-0.001373835421,-0.0002375667459
-0.0006907875929,-0.003057558522,-0.007453368412,-0.01365734382,-0.0211303623,-0.02942446019,-0.03819864232,-0.04716276976,-0.05605058116,-0.06461393436,-0.07262149641,-0.0798572588,-0.08611970288,-0.09122238447,-0.09499595398,-0.09729253368,-0.09799588087,-0.09703676204,-0.09435840717,-0.08997008613,-0.08394653689,-0.07643579376,-0.06766814639,-0.05796090488,-0.04771547134,-0.03740310462,-0.02753635508,-0.01862817083,-0.01115088029,-0.005506286102,-0.00195952594,-0.0003658630762
-0.0008451280935,-0.003695621901,-0.008907323042,-0.01616673076,-0.02480562519,-0.03429369168,-0.04424750579,-0.05435377779,-0.06433113531,-0.07392008691,-0.08287985697,-0.09098575011,-0.0980275453,-0.1038095738,-0.1081522692,-0.1108957202,-0.1119085515,-0.1111113036,-0.1084264748,-0.103841022,-0.09740680595,-0.08925118854,-0.07959046951,-0.06874051073,-0.057120318,-0.04524371041,-0.03369435432,-0.02308501743,-0.01401437445,-0.007033373634,-0.002556718953,-0.0004914977065
-0.000983759208,-0.004272050193,-0.01022696773,-0.0184509943,-0.02815718289,-0.03873901926,-0.04977445297,-0.06093080675,-0.0719161337,-0.08246473969,-0.09233166051,-0.1012883161,-0.1091196166,-0.1156231209,-0.1206098489,-0.1239067864,-0.1253636739,-0.1248846145,-0.1223668368,-0.1177649079,-0.1110962757,-0.1024548475,-0.092029535,-0.08012207573,-0.06715904085,-0.05369189563,-0.04037843025,-0.02794448735,-0.01713889312,-0.008692481063,-0.003197869862,-0.0006236925783
-0.001105935438,-0.004781855541,-0.01139765818,-0.02048218031,-0.03114343711,-0.04270759023,-0.05471927854,-0.06683065654,-0.0787434823,-0.09019035238,-0.1009265581,-0.1107236301,-0.1193647352,-0.1266425674,-0.13235926,-0.1363280477,-0.1383788335,-0.138378903,-0.1362114566,-0.1317861965,-0.1250749335,-0.1161254893,-0.1050853169,-0.09222749727,-0.07797293417,-0.06290148607,-0.04774343855,-0.03334759657,-0.02063681093,-0.01055785901,-0.003919909089,-0.0007724341923
-0.001210374992,-0.005219203137,-0.01240505314,-0.02223445652,-0.03372587782,-0.04614847895,-0.05901974416,-0.07198119004,-0.08473250179,-0.097008807,-0.1085698007,-0.119190893,-0.1286565404,-0.1367565457,-0.1432848728,-0.1480402807,-0.1508297256,-0.151478798,-0.1498529322,-0.1458107941,-0.1392691945,-0.1302177338,-0.1187476344,-0.1050864896,-0.08963204816,-0.07297720607,-0.05591592413,-0.03942358601,-0.02461873838,-0.01270537768,-0.004760802412,-0.00094782551
