0.0003646683472,-0.0003933051215,-0.003464247091,-0.00773330816,-0.01240669401,-0.01687528853,-0.02062942427,-0.02320284564,-0.02414241269,-0.02314837838,-0.02000669448,-0.01498363352,-0.00892925839,-0.003287987874,0.0002825888323,0.0006711724148
-0.0004599988946,-0.00446987776,-0.01296105932,-0.02344000169,-0.03436791985,-0.04446510634,-0.05262787406,-0.05790586435,-0.05949438998,-0.05691493494,-0.04993103321,-0.03911455783,-0.02598690706,-0.013065029,-0.003406685692,0.0001049045952
-0.001389205211,-0.008742936818,-0.02220300844,-0.03774279885,-0.05336447234,-0.06745917914,-0.07864902737,-0.08577598897,-0.08788727421,-0.0844285413,-0.07511604946,-0.06050924487,-0.04223936421,-0.02323087894,-0.007564244157,-0.000564419169
-0.002190168163,-0.01251767135,-0.03029508904,-0.05001063807,-0.06937093004,-0.08663673328,-0.1003421433,-0.1092554863,-0.1123253679,-0.1089070577,-0.09851942856,-0.08142287415,-0.0589925262,-0.03421093617,-0.01208687283,-0.001198564169
-0.002826250869,-0.0155880484,-0.03687512395,-0.05993565437,-0.08232722977,-0.1023067649,-0.1184251722,-0.1294312685,-0.1341669579,-0.1318029697,-0.121548958,-0.1031407787,-0.07740558227,-0.04703806952,-0.01770172538,-0.002012367508
-0.00328421071,-0.01785347471,-0.04172695081,-0.06723585992,-0.09193419291,-0.1141841164,-0.1326405113,-0.1460742332,-0.1532441041,-0.152904532,-0.1440339259,-0.1256579578,-0.09779040739,-0.06241249878,-0.02524054204,-0.003333614554
-0.003569968625,-0.01928351833,-0.04470609096,-0.07157430272,-0.09759233134,-0.1213557759,-0.1417411827,-0.157626252,-0.1677145101,-0.1703458736,-0.1641609699,-0.1474708153,-0.1192301862,-0.08022607303,-0.03535509431,-0.005596254101
-0.003738487186,-0.01998358627,-0.0458221228,-0.07267083935,-0.09856456167,-0.1225035021,-0.1437658749,-0.1615092198,-0.1745127976,-0.1808201033,-0.1785774177,-0.1655346508,-0.1393897191,-0.09924701152,-0.0482133494,-0.00931910221
-0.003960858919,-0.02034529459,-0.04542883503,-0.07053617408,-0.09427847863,-0.1162801963,-0.1364578468,-0.1545220551,-0.169598629,-0.1798023982,-0.1825062394,-0.1752547513,-0.1543876889,-0.1168725441,-0.06310697688,-0.01495957259
-0.004630846304,-0.02123542604,-0.0444033009,-0.06567081053,-0.08461127158,-0.1017294878,-0.1178111045,-0.1334316394,-0.1484740124,-0.1618495601,-0.169887854,-0.1704603688,-0.1586292023,-0.1288457009,-0.07800790958,-0.02254005312
-0.006515896235,-0.02413909149,-0.0440873248,-0.05890920305,-0.06978282345,-0.07836405857,-0.08642811191,-0.09558889745,-0.1068790688,-0.1209284572,-0.1335658449,-0.1433340633,-0.1445111161,-0.1288219567,-0.08914839976,-0.03102693014
-0.01088218776,-0.03099182846,-0.04547414395,-0.05022912136,-0.04904258745,-0.04496905577,-0.04076181122,-0.03889831411,-0.04150026941,-0.05049560636,-0.0658457469,-0.08441031479,-0.1018836576,-0.1075503099,-0.0904254574,-0.0374344143
-0.01898880387,-0.04260761569,-0.04612643089,-0.03480320608,-0.01627351952,0.004990244728,0.02497234282,0.0409634037,0.05049870068,0.05096257745,0.03935269046,0.01657620685,-0.01780199335,-0.05149034588,-0.07189868169,-0.03531684839
-0.02792687984,-0.05141717713,-0.02987050656,0.008323098639,0.05076592147,0.09219943148,0.1295930637,0.1606773126,0.1830919184,0.1940844203,0.1897225969,0.1668277161,0.1218300999,0.05923151091,-0.01609082434,-0.01179988459
-0.009390966359,-0.0132757349,0.06511249634,0.1404446593,0.2084284647,0.268832019,0.3207089465,0.3631429622,0.3946038311,0.4127678471,0.4132770722,0.3898165079,0.3367009686,0.2487162271,0.1131921087,0.06256740621
0.2215110452,0.2871065638,0.4213023996,0.5210391443,0.593463117,0.6495485363,0.6932840766,0.7264400379,0.7494196567,0.7615751368,0.759154808,0.7375311363,0.6889790698,0.5966075636,0.4203255186,0.2884766199
