iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
1,8.995142214e-06,7.658958582e-09,1e-08,9.016904156e-11,0.272858796
2,8.662453254e-06,1.366392375e-09,2.121752589e-09,9.664826406e-11,0.1514812104
3,6.999957584e-06,1.504743304e-09,2.342372714e-09,8.524022573e-11,0.09630739455
4,5.426446053e-06,1.657283335e-09,2.450848462e-09,9.520746347e-11,0.06592054792
5,4.106765619e-06,1.768562479e-09,2.524331494e-09,9.230822069e-11,0.04744751321
6,3.108459906e-06,1.846094796e-09,2.582022661e-09,7.730556148e-11,0.03780948302
7,2.432274005e-06,1.90560785e-09,2.639453333e-09,7.492824505e-11,0.03344678554
8,1.982456705e-06,1.955285457e-09,2.677725326e-09,8.943624925e-11,0.02961618171
9,1.621848032e-06,1.997157947e-09,2.714294688e-09,8.978835894e-11,0.02631371671
10,1.330327253e-06,2.034022263e-09,2.776131752e-09,8.657510419e-11,0.02347119669
11,1.098189393e-06,2.07157472e-09,2.831317961e-09,7.935796675e-11,0.02102513242
12,9.314925881e-07,2.107354167e-09,2.878898026e-09,8.853886273e-11,0.01892087286
13,7.958846847e-07,2.142574324e-09,2.920528591e-09,9.349612396e-11,0.01710607609
14,6.855505862e-07,2.178178684e-09,2.942600088e-09,9.003880474e-11,0.01553529928
15,5.985974212e-07,2.212196638e-09,2.981055654e-09,9.348273321e-11,0.01420915618
16,5.259938885e-07,2.249780162e-09,3.023820497e-09,8.989777108e-11,0.01343131885
17,4.6588775e-07,2.291066393e-09,3.066235093e-09,7.421659747e-11,0.01269420092
18,4.157354578e-07,2.333232787e-09,3.101994619e-09,7.943971411e-11,0.01199851963
19,3.739433124e-07,2.375804891e-09,3.145796507e-09,7.701464714e-11,0.01134445536
20,3.393085958e-07,2.42004053e-09,3.192013876e-09,7.584485849e-11,0.01073161888
21,3.125527699e-07,2.465863312e-09,3.24131476e-09,7.606335288e-11,0.01015885775
22,2.886369267e-07,2.513161454e-09,3.295042569e-09,8.406020543e-11,0.009624064236
