iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
62,2.564559797e-07,4.669417899e-09,2.251679719e-09,9.253187767e-11,0.002338250774
63,2.497620346e-07,4.712790863e-09,2.008491841e-09,9.898689384e-11,0.002275269928
64,2.433531201e-07,4.754854648e-09,2.298146169e-09,8.033191654e-11,0.002214229376
65,2.371580227e-07,4.795531662e-09,3.186276831e-09,8.189068002e-11,0.002160054971
66,2.309779945e-07,4.834786662e-09,4.423815597e-09,8.231356975e-11,0.002111825986
67,2.250369517e-07,4.872573564e-09,5.77936204e-09,8.15936947e-11,0.002066175879
68,2.194334154e-07,4.908749726e-09,7.127055804e-09,8.04062778e-11,0.002021375101
69,2.139953007e-07,4.942833473e-09,8.39350596e-09,7.983846458e-11,0.001977536957
70,2.088770802e-07,4.975209316e-09,9.561444346e-09,8.028803586e-11,0.001934673327
71,2.038999358e-07,5.005931083e-09,1.494326645e-09,8.073076196e-11,0.001892768844
72,1.991050008e-07,5.034962986e-09,1.413104255e-09,8.16381534e-11,0.001851808106
73,1.945957568e-07,5.062271922e-09,1.296014897e-09,8.297078248e-11,0.001811775794
74,1.902960048e-07,5.087829847e-09,1.155499467e-09,8.486332767e-11,0.001772659548
75,1.861154071e-07,5.111610824e-09,1.002121097e-09,8.739203076e-11,0.001734445527
76,1.820494133e-07,5.133589213e-09,8.4858379e-10,9.045311375e-11,0.001697114346
77,1.781279217e-07,5.153745116e-09,7.116316713e-10,9.354968646e-11,0.001660650145
78,1.743149779e-07,5.172062952e-09,6.028222613e-10,9.576398985e-11,0.001625426115
79,1.70599966e-07,5.188543382e-09,5.164737214e-10,9.553801954e-11,0.00159010931
80,1.672659143e-07,5.203186514e-09,4.359555408e-10,9.565578277e-11,0.001555526984
81,1.641344212e-07,5.216005664e-09,3.53681506e-10,9.438091633e-11,0.001521810256
82,1.609330457e-07,5.227017638e-09,2.74473528e-10,7.911411401e-11,0.001487699726
83,1.578890986e-07,5.236191639e-09,2.097534231e-10,8.323593475e-11,0.001454217594
84,1.548861376e-07,5.243660456e-09,1.69066064e-10,8.744695162e-11,0.001421945124
85,1.519927726e-07,5.249380728e-09,9.439770784e-09,9.115893858e-11,0.00139170074
86,1.490958705e-07,5.253355971e-09,7.993479494e-09,9.490331957e-11,0.001365648065
87,1.463377367e-07,5.255688561e-09,7.433013366e-09,9.895522619e-11,0.00134021572
88,1.435214834e-07,5.256380763e-09,7.795415035e-09,7.448632872e-11,0.001315325528
89,1.409485379e-07,5.255572371e-09,8.878037535e-09,7.612370101e-11,0.001291261854
90,1.381408493e-07,5.253220489e-09,4.629984585e-10,7.751625478e-11,0.001267920171
91,1.351716924e-07,5.249235898e-09,5.118602946e-10,7.812424082e-11,0.001245031002
92,1.322225726e-07,5.243819627e-09,5.256659264e-10,7.988281622e-11,0.001222621095
93,1.295407801e-07,5.237200964e-09,5.443367328e-10,8.174362934e-11,0.001200684236
94,1.271506533e-07,5.229327878e-09,5.807005933e-10,8.321492968e-11,0.001179162171
95,1.247226809e-07,5.220267736e-09,6.12229347e-10,8.371852781e-11,0.001158067734
96,1.224608815e-07,5.210374218e-09,9.67354222e-09,8.444010927e-11,0.001137394639
97,1.206172671e-07,5.198884803e-09,8.681872331e-09,8.533850681e-11,0.0011171359
98,1.18951412e-07,5.186117637e-09,7.641206282e-09,8.635839295e-11,0.001097279902
99,1.172573641e-07,5.172217336e-09,6.627579873e-09,8.730211102e-11,0.001077816299
100,1.152665332e-07,5.157269678e-09,5.722569244e-09,8.723219843e-11,0.001058740398
101,1.134290097e-07,5.141424659e-09,4.982889131e-09,8.869510589e-11,0.001039934068
102,1.11658473e-07,5.124779345e-09,4.390908107e-09,8.921684026e-11,0.001021463124
103,1.098384973e-07,5.10733707e-09,3.877074726e-09,8.925468617e-11,0.001003367145
104,1.080696935e-07,5.089298465e-09,3.381433953e-09,9.00424426e-11,0.0009856264494
105,1.064079286e-07,5.070522941e-09,2.885013407e-09,9.082704399e-11,0.0009682450117
106,1.048607307e-07,5.051069057e-09,2.402380574e-09,9.14609616e-11,0.0009512151212
107,1.033625442e-07,5.030997124e-09,1.963939725e-09,9.175991028e-11,0.0009345274804
108,1.019099492e-07,5.010362015e-09,1.602404813e-09,9.160733552e-11,0.0009181737676
109,1.005033417e-07,4.989215959e-09,1.341281492e-09,9.071991184e-11,0.0009021464282
110,9.911011817e-08,4.967609429e-09,1.182904675e-09,8.9015342e-11,0.0008866609774
111,9.771123653e-08,4.94559137e-09,1.108016309e-09,8.872036628e-11,0.0008718715259
112,9.627899148e-08,4.923223251e-09,1.099866358e-09,8.899440481e-11,0.0008573580874
113,9.494808312e-08,4.900577838e-09,1.170173951e-09,8.887561004e-11,0.0008431166989
114,9.365070893e-08,4.87768592e-09,1.348944235e-09,8.838177638e-11,0.0008291429048
115,9.239470323e-08,4.854575963e-09,1.643725825e-09,8.764544317e-11,0.0008154314406
116,9.119086171e-08,4.831284252e-09,2.022194082e-09,8.673860995e-11,0.0008019771001
117,9.001125945e-08,4.807848378e-09,2.429716783e-09,8.569163371e-11,0.0007887747703
118,8.879631113e-08,4.784302815e-09,2.809901104e-09,8.449779424e-11,0.0007758181131
119,8.75778298e-08,4.760777073e-09,3.117622121e-09,8.32794182e-11,0.0007632300139
120,8.643236732e-08,4.73728301e-09,3.327963599e-09,8.189834297e-11,0.00075164486
121,8.530752319e-08,4.71379174e-09,3.44109189e-09,8.008571002e-11,0.0007402470645
122,8.419813862e-08,4.690314823e-09,3.480553218e-09,7.765507724e-11,0.0007290302392
123,8.312643924e-08,4.666901404e-09,3.483623462e-09,9.8034433e-11,0.000717975021
124,8.209252747e-08,4.643574675e-09,3.486714975e-09,9.451876528e-11,0.0007070820746
125,8.109075223e-08,4.620358025e-09,3.512688099e-09,9.060582338e-11,0.0006963535512
126,7.998919087e-08,4.597273847e-09,3.566402274e-09,8.674554507e-11,0.0006857745728
127,7.903506797e-08,4.57436511e-09,3.6387964e-09,8.179209322e-11,0.0006753429251
128,7.811997607e-08,4.55159555e-09,3.715368599e-09,7.750533417e-11,0.0006650726788
129,7.720733572e-08,4.528979852e-09,3.782255737e-09,9.523528553e-11,0.0006549700006
130,7.630973138e-08,4.50656151e-09,3.829273351e-09,8.646459016e-11,0.000645032816
131,7.541751364e-08,4.484366089e-09,3.850541668e-09,7.585628704e-11,0.0006352583821
132,7.456736585e-08,4.462411575e-09,3.843846791e-09,9.389830812e-11,0.0006256441431
133,7.373716674e-08,4.440712277e-09,3.809672092e-09,8.591089494e-11,0.0006161875762
