x,v
0.015625,0.02831593315
0.046875,0.07340117253
0.078125,0.1076673439
0.109375,0.1323950918
0.140625,0.149070858
0.171875,0.1591380964
0.203125,0.1638459372
0.234375,0.1641850373
0.265625,0.1608827428
0.296875,0.1544315991
0.328125,0.1451328078
0.359375,0.1331432986
0.390625,0.1185208576
0.421875,0.1012658523
0.453125,0.08136020194
0.484375,0.05880539155
0.515625,0.03366190364
0.546875,0.006094074672
0.578125,-0.0235944938
0.609375,-0.05499215024
0.640625,-0.08756790972
0.671875,-0.120423656
0.703125,-0.1522633241
0.734375,-0.1813413574
0.765625,-0.205422576
0.796875,-0.221793014
0.828125,-0.2273849199
0.859375,-0.2191190268
0.890625,-0.1945934565
0.921875,-0.1531943941
0.953125,-0.09729064632
0.984375,-0.03258647204
