iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
1,8.113213156e-14,1.416680121e-09,1e-08,6.75898639e-11,0.2514677975
2,3.013254864e-14,5.084231518e-09,1.169060875e-09,5.79271901e-11,0.1650686736
3,2.888972635e-14,8.364583713e-09,3.577446992e-09,9.808297731e-11,0.1038383244
4,1.161114886e-14,8.10571469e-09,7.868972843e-09,5.519395806e-11,0.0671868393
5,1.38078524e-14,1.873911288e-09,4.905474811e-09,9.123564461e-11,0.04498267537
6,1.12067462e-14,2.571579241e-09,1.780724025e-09,9.655917593e-11,0.03628828188
7,7.269092367e-15,3.637149794e-09,2.842743813e-09,8.154938775e-11,0.03104027025
8,5.207803167e-15,4.563605686e-09,3.617077058e-09,7.526633211e-11,0.02613920161
9,4.235858311e-15,5.910934695e-09,4.769804972e-09,7.539575786e-11,0.02178168425
10,3.364904028e-15,7.131046744e-09,4.488209673e-09,7.255899365e-11,0.01814332672
11,2.253174939e-15,8.339210613e-09,5.000224369e-09,5.840692336e-11,0.01514053649
12,1.547875459e-15,9.502800093e-09,5.955695286e-09,4.673004114e-11,0.01298158364
13,2.803888967e-15,1.605598404e-09,7.131366102e-09,9.983956563e-11,0.011648866
14,1.287608214e-15,1.838924708e-09,9.612750077e-09,5.283524241e-11,0.01040213251
15,2.0359462e-15,2.100640906e-09,9.974659932e-09,9.904505766e-11,0.009263810073
16,1.726463383e-15,2.379659517e-09,5.952557617e-09,9.783141061e-11,0.008240727607
17,9.430319921e-16,2.665240419e-09,7.552635359e-09,5.707940006e-11,0.007330723423
18,9.161556963e-16,2.949648366e-09,7.049589198e-09,6.28665439e-11,0.006526603896
19,8.933554685e-16,3.228271807e-09,6.214686119e-09,6.86285073e-11,0.005818832131
20,8.287127562e-16,3.500065621e-09,6.806896854e-09,7.183537634e-11,0.005247725464
21,7.309047037e-16,3.766232821e-09,7.723988515e-09,7.163571748e-11,0.004851484615
22,5.858740714e-16,4.023578766e-09,8.327260167e-09,6.450251057e-11,0.004479547414
23,4.694203158e-16,4.27193415e-09,8.681550784e-09,5.836884711e-11,0.004133181108
24,4.365906654e-16,4.512496064e-09,8.475135955e-09,5.888759598e-11,0.003812715131
25,3.426764201e-16,4.747460293e-09,8.917259549e-09,5.102234916e-11,0.003512214074
26,5.561796622e-16,4.977501025e-09,8.421754686e-09,9.083350094e-11,0.003222402851
